title,price,price_numeric,location,property_url
Oak Classic Residency Apartments for Sale in Kilimani on George Padmore Road,"Ksh7,300,000",7300000.0,"Kilimani, Nairobi",https://realtors.co.ke/property/oak-classic-apartment-1-2-bedroom-for-sale-in-kilimani-nairobi/
Leo Residence Apartments,"Ksh6,500,000",6500000.0,"Lavington, Nairobi",https://realtors.co.ke/property/leo-residence-apartment-for-sale-in-lavington/
Furnished 1-Bedroom Apartment for Rent in Lavington at Riara Oasis,"Ksh150,000",150000.0,"Lavington, Nairobi",https://realtors.co.ke/property/furnished-1-bedroom-apartment-for-rent-in-lavington-at-riara-oasis/
Only You Elgeyo Apartments,"Ksh28,000,000",28000000.0,"Kilimani, Nairobi",https://realtors.co.ke/property/only-you-elgeyo-apartments/
"Capital Residence | Luxurious 2 & 3-Bedroom Apartments for Sale in Kilimani, Nairobi","Ksh9,100,000",9100000.0,"Kilimani, Nairobi",https://realtors.co.ke/property/capital-residence-luxurious-2-3-bedroom-apartments-for-sale-in-kilimani-nairobi/
"3 Bedroom Apartment for Sale in Muthithi Road — Golden Mansion Apartments, Westlands","Ksh21,714,000",21714000.0,"Westlands, Nairobi",https://realtors.co.ke/property/3-bedroom-apartment-for-sale-in-muthithi-road-golden-mansion-apartments-westlands/
Muthangari Residency Apartment For Sale,"Ksh17,000,000",17000000.0,Nairobi,https://realtors.co.ke/property/new-luxury-muthangari-residency-apartment-for-sale/
Modern 3-Bedroom Apartment for Rent in Lavington,"Ksh120,000",120000.0,Lavington,https://realtors.co.ke/property/3-bedroom-apartment-for-rent-at-kingara-road-lavington/
Modern 4-Bedroom Duplex Apartments for Sale in General Mathenge,"$226,850",,Westlands,https://realtors.co.ke/property/4-bedroom-apartments-for-sale-at-greenville-gardens/
Platinum Oak Residency Apartment For Sale,"Ksh24,500,000",24500000.0,"Kileleshwa, Nairobi",https://realtors.co.ke/property/platinum-oak-residency/
Modern 3 & 4-Bedroom Apartments for Sale in Lavington,"Ksh9,200,000",9200000.0,,https://realtors.co.ke/property/vibrant-2-bedroom-homes-for-sale-mararo-avenue-in-lavington/
Berkeley Westlands | Modern 2-Bedroom,"Ksh7,980,000",7980000.0,"Westlands, Nairobi",https://realtors.co.ke/property/berkeley-westlands-modern-2-bedroom/
1 Bedroom Apartment for Sale in Kilimani – Oak Breeze Residency (50 SQM),"Ksh6,000,000",6000000.0,"Kilimani, Nairobi",https://realtors.co.ke/property/1-bedroom-apartment-for-sale-in-kilimani-oak-breeze-residency-50-sqm/
Apartments for Sale in Kilimani,"Ksh14,000,000",14000000.0,"Kilimani, Nairobi",https://realtors.co.ke/property/zanzi-court-luxurious-23-4-bedroom-apartment-for-sale/
Modern 3-Bedroom Apartment for Rent in Westlands,"Ksh175,000",175000.0,"Westlands, Nairobi",https://realtors.co.ke/property/samar-residency-westlands-3-bedroom-apartment-plus-dsq-for-rent/
Modern 3-Bedroom Apartments for Sale in Westlands,"Ksh39,000,000",39000000.0,"Westlands, Nairobi",https://realtors.co.ke/property/3-bedroom-apartments-for-sale-at-sunset-park-westlands/
Modern 5-Bedroom | Crystal Oak Residency,"Ksh41,000,000",41000000.0,"Kileleshwa, Nairobi",https://realtors.co.ke/property/modern-5-bedroom-crystal-oak-residency/
Modern 4-Bedroom | Crystal Oak Residency,"Ksh26,000,000",26000000.0,"Kileleshwa, Nairobi",https://realtors.co.ke/property/modern-4-bedroom-crystal-oak-residency/
